IME;SIFRA;VREDNOST
LVZN;1297;KINGWELL
LVZN;1298;KOMATSU
LVZN;1299;AWE
LVZN;1300;AWO
LVZN;1301;BARKAS
LVZN;1302;BASTERT
LVZN;1303;BAUMANN
LVZN;1304;BELGARDA
LVZN;1305;BEFORD
LVZN;1306;BIZZARRINI
LVZN;1307;BLUEBIRD
LVZN;1308;BOLENS
LVZN;1309;BOLINDER MUNKTELL
LVZN;1047;DERBI
LVZN;1310;BOSSE
LVZN;1311;BOVA
LVZN;1312;BOZZI
LVZN;1313;BRUU
LVZN;1314;BUESSING
LVZN;1315;BUGATTI
LVZN;1316;BUKH
LVZN;1317;BULTACO
LVZN;1318;CAMPTOURIST
LVZN;1319;CARNIELLI
LVZN;1320;CARRARO
LVZN;1321;CARRIER
LVZN;1322;CEMOTO
LVZN;1323;CHAMPION
LVZN;1324;CHATEAU
LVZN;1325;CHAUSSON
LVZN;1326;CHECKER
LVZN;1327;CHIORDA
LVZN;1328;CI CARAVANS
LVZN;1329;CITYCOM
LVZN;1330;CLAEYS
LVZN;1331;CLARK
LVZN;1332;CLASS
LVZN;1333;CLAYSON
LVZN;1334;CMC
LVZN;1335;COLES
LVZN;1336;COMBI CAMP
LVZN;1337;COMETTO
LVZN;1338;COMMER
LVZN;1339;CONSTRUCT
LVZN;1340;CONTINENTA
LVZN;1341;CRESTA
LVZN;1342;CZ
LVZN;1343;DAPA
LVZN;1344;DE REU
LVZN;1345;RE ROECK
LVZN;1346;DE SOTO
LVZN;1347;DEMM
LVZN;1348;DEVILS TR.
LVZN;1349;DEXHEIMER
LVZN;1350;DIGUE
LVZN;1351;DORSEY
LVZN;1352;DRESSER
LVZN;1353;DROEGMOELLER
LVZN;1354;DUERKOPP
LVZN;1355;DUNSTALL
LVZN;1356;ECCLES
LVZN;1357;EGLI
LVZN;1358;ELEKTRON
LVZN;1359;ELG
LVZN;1360;ERATH
LVZN;1361;ERIBA-HYMER
LVZN;1362;ERKA
LVZN;1363;EUCLID
LVZN;1364;EUGRA
LVZN;1365;EVERS
LVZN;1366;EXPRESSO
LVZN;1367;FABER
LVZN;1368;FABRA
LVZN;1369;FACEL-VEGA
LVZN;1370;FAME
LVZN;1371;FAR
LVZN;1372;FARO
LVZN;1373;FAUN
LVZN;1374;FIAT ALLIS
LVZN;1375;FIBERGLAS
LVZN;1376;FICHTEL U SACHS
LVZN;1377;FKM
LVZN;1378;FLOHR
LVZN;1379;FMC
LVZN;1380;FMR
LVZN;1381;FORTSCHRITT ERNTEMASCH
LVZN;1382;FRANKIA
LVZN;1383;FRANZEN
LVZN;1384;FRISCH
LVZN;1385;FROMM
LVZN;1386;FUJI HEAVY
LVZN;1387;FURKUKAWA
LVZN;1388;FWD
LVZN;1389;FYRA PE
LVZN;1390;GAS
LVZN;1391;GASSMANN
LVZN;1392;GAUPP
LVZN;1393;GAY
LVZN;1394;GEHL
LVZN;1395;GEORGE
LVZN;1396;GHIA
LVZN;1397;GILHAUS
LVZN;1398;GLAS
LVZN;1399;GM
LVZN;1400;GODE
LVZN;1401;GOEBEL
LVZN;1402;GOERICKE
LVZN;1403;GREENLAND
LVZN;1404;GROVE
LVZN;1405;GUELDNER
LVZN;1406;GUGEL
LVZN;1407;GUTBROD
LVZN;1408;GYRO
LVZN;1409;HAEGGLUND
LVZN;1410;HAHN
LVZN;1411;HAKO
LVZN;1412;HANLERD
LVZN;1413;HANSA
LVZN;1414;HEBE/HTS
LVZN;1415;HEIK
LVZN;1416;HESSTON
LVZN;1417;HIGHWAY TRAILER
LVZN;1418;HISPANO
LVZN;1419;HITACHI
LVZN;1420;HKM
LVZN;1421;HMB
LVZN;1422;HOBEIN
LVZN;1423;HOME-CAR
LVZN;1424;HORCH
LVZN;1425;HRD
LVZN;1426;HSM
LVZN;1427;HTS
LVZN;1428;HUBER & WOESSNER
LVZN;1429;HUEDIG
LVZN;1430;HUERLIMANN
LVZN;1431;HULO
LVZN;1432;HUMMEL
LVZN;1433;HYMAC
LVZN;1434;HYSTER
LVZN;1435;IBC
LVZN;1436;IMA
LVZN;1437;IMENASA
LVZN;1438;IMPERIAL
LVZN;1439;INTERCONSULT
LVZN;1440;INTERCYCLE
LVZN;1441;INTERMECCANICA
LVZN;1442;INTERNAT.TRAILERS
LVZN;1443;ISEKI
LVZN;1444;ITALEMMEZETA
LVZN;1445;ITM
LVZN;1446;ITTECO
LVZN;1447;IVECO FIAT
LVZN;1448;IVECO MAGIRUS
LVZN;1449;JACOBSEN
LVZN;1450;JAMET
LVZN;1451;JECOTE
LVZN;1452;JF FABRIKEN
LVZN;1453;JOHN
LVZN;1454;JOHNSON
LVZN;1455;JOMI
LVZN;1456;KAESSBOHRER
LVZN;1457;KAISER
LVZN;1458;KARMANN
LVZN;1459;KAROSA
LVZN;1460;KEWET
LVZN;1461;KRAUS-MAFFEI
LVZN;1462;KWAN YANG
LVZN;1463;KYNAST
LVZN;1464;LAMBRETT
LVZN;1465;LAMPE
LVZN;1466;LANDER
LVZN;1467;LANSING
LVZN;1468;LATAIN
LVZN;1469;LE CAR
LVZN;1470;LECKI
LVZN;1471;LENZ
LVZN;1472;LEVANTE
LVZN;1473;LEY
LVZN;1474;LEYLAND
LVZN;1475;LIAZ
LVZN;1476;LIFTLUX
LVZN;1477;LINDENAU
LVZN;1478;LLOYD
LVZN;1479;LMC
LVZN;1480;LMF
LVZN;1481;LOGERMANN
LVZN;1482;LOMBARDINI
LVZN;1483;LORAIN
LVZN;1484;LOWIS
LVZN;1485;LUNA
LVZN;1486;LYNTON
LVZN;1487;MACO-MEUDON
LVZN;1488;MAFI
LVZN;1489;MAKOAUTOMOBILE
LVZN;1490;MAM
LVZN;1491;MANDEL
LVZN;1492;MAN
LVZN;1493;MARS
LVZN;1494;MARTIN
LVZN;1495;MASE
LVZN;1496;MASSEY-HARRIS
LVZN;1497;MAUS
LVZN;1498;MAW
LVZN;1499;MAXIMUM
LVZN;1500;MAYER
LVZN;1501;MAYR
LVZN;1502;MBA
LVZN;1503;MBN
LVZN;1504;MC
